id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_dokter_spesialis,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,664,ORANG,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,ORANG,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,32,ORANG,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,90,ORANG,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,63,ORANG,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6,ORANG,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,29,ORANG,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,49,ORANG,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,139,ORANG,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,24,ORANG,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,67,ORANG,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,48,ORANG,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,28,ORANG,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,58,ORANG,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,447,ORANG,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,401,ORANG,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,34,ORANG,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,556,ORANG,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,141,ORANG,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,1084,ORANG,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,123,ORANG,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,336,ORANG,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,521,ORANG,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,181,ORANG,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,179,ORANG,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,37,ORANG,2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,94,ORANG,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,97,ORANG,2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,23,ORANG,2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,63,ORANG,2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,23,ORANG,2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,33,ORANG,2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,26,ORANG,2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,26,ORANG,2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,41,ORANG,2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,33,ORANG,2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,16,ORANG,2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,31,ORANG,2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,15,ORANG,2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,16,ORANG,2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71,ORANG,2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,25,ORANG,2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,26,ORANG,2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2017
46,32,JAWA BARAT,3271,KOTA BOGOR,37,ORANG,2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,67,ORANG,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,12,ORANG,2017
49,32,JAWA BARAT,3274,KOTA CIREBON,117,ORANG,2017
50,32,JAWA BARAT,3275,KOTA BEKASI,132,ORANG,2017
51,32,JAWA BARAT,3276,KOTA DEPOK,13,ORANG,2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,35,ORANG,2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,20,ORANG,2017
54,32,JAWA BARAT,3279,KOTA BANJAR,8,ORANG,2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,756,ORANG,2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,147,ORANG,2018
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1681,ORANG,2018
59,32,JAWA BARAT,3205,KABUPATEN GARUT,48,ORANG,2018
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,ORANG,2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,25,ORANG,2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,48,ORANG,2018
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,299,ORANG,2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,53,ORANG,2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,142,ORANG,2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,ORANG,2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,48,ORANG,2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,183,ORANG,2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,401,ORANG,2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,600,ORANG,2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,75,ORANG,2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,682,ORANG,2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,122,ORANG,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,1679,ORANG,2018
76,32,JAWA BARAT,3274,KOTA CIREBON,250,ORANG,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,38,ORANG,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,881,ORANG,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,208,ORANG,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,39,ORANG,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,46,ORANG,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,239,ORANG,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,110,ORANG,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,77,ORANG,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,137,ORANG,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,56,ORANG,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,16,ORANG,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,41,ORANG,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,75,ORANG,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,84,ORANG,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,49,ORANG,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,29,ORANG,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,54,ORANG,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,64,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,31,ORANG,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,207,ORANG,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,163,ORANG,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,71,ORANG,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,418,ORANG,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,63,ORANG,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,374,ORANG,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,145,ORANG,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,280,ORANG,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,371,ORANG,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,75,ORANG,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,47,ORANG,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,ORANG,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,956,ORANG,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,172,ORANG,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,57,ORANG,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,238,ORANG,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,123,ORANG,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,31,ORANG,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,48,ORANG,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,138,ORANG,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,332,ORANG,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,43,ORANG,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,47,ORANG,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,119,ORANG,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,69,ORANG,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,158,ORANG,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,511,ORANG,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,1928,ORANG,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,77,ORANG,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,12,ORANG,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,723,ORANG,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,174,ORANG,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,0,ORANG,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,294,ORANG,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,792,ORANG,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,1091,ORANG,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,241,ORANG,2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,306,ORANG,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,28,ORANG,2020
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,993,ORANG,2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,246,ORANG,2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,57,ORANG,2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,269,ORANG,2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,88,ORANG,2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,32,ORANG,2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,138,ORANG,2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,138,ORANG,2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,316,ORANG,2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,76,ORANG,2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,47,ORANG,2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,119,ORANG,2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,120,ORANG,2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,158,ORANG,2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,331,ORANG,2021
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,2024,ORANG,2021
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,77,ORANG,2021
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,38,ORANG,2021
154,32,JAWA BARAT,3271,KOTA BOGOR,586,ORANG,2021
155,32,JAWA BARAT,3272,KOTA SUKABUMI,154,ORANG,2021
156,32,JAWA BARAT,3273,KOTA BANDUNG,1862,ORANG,2021
157,32,JAWA BARAT,3274,KOTA CIREBON,294,ORANG,2021
158,32,JAWA BARAT,3275,KOTA BEKASI,1578,ORANG,2021
159,32,JAWA BARAT,3276,KOTA DEPOK,1068,ORANG,2021
160,32,JAWA BARAT,3277,KOTA CIMAHI,252,ORANG,2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,408,ORANG,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,31,ORANG,2021
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,1008,ORANG,2022
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,199,ORANG,2022
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,74,ORANG,2022
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,303,ORANG,2022
167,32,JAWA BARAT,3205,KABUPATEN GARUT,133,ORANG,2022
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30,ORANG,2022
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,84,ORANG,2022
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,178,ORANG,2022
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,353,ORANG,2022
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,84,ORANG,2022
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,85,ORANG,2022
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,60,ORANG,2022
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,112,ORANG,2022
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,241,ORANG,2022
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,530,ORANG,2022
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,1198,ORANG,2022
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,171,ORANG,2022
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,20,ORANG,2022
181,32,JAWA BARAT,3271,KOTA BOGOR,879,ORANG,2022
182,32,JAWA BARAT,3272,KOTA SUKABUMI,113,ORANG,2022
183,32,JAWA BARAT,3273,KOTA BANDUNG,2132,ORANG,2022
184,32,JAWA BARAT,3274,KOTA CIREBON,271,ORANG,2022
185,32,JAWA BARAT,3275,KOTA BEKASI,1624,ORANG,2022
186,32,JAWA BARAT,3276,KOTA DEPOK,1011,ORANG,2022
187,32,JAWA BARAT,3277,KOTA CIMAHI,261,ORANG,2022
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,112,ORANG,2022
189,32,JAWA BARAT,3279,KOTA BANJAR,31,ORANG,2022
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,741,ORANG,2023
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,158,ORANG,2023
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,101,ORANG,2023
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,227,ORANG,2023
194,32,JAWA BARAT,3205,KABUPATEN GARUT,94,ORANG,2023
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,26,ORANG,2023
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,56,ORANG,2023
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,107,ORANG,2023
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,235,ORANG,2023
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,57,ORANG,2023
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,61,ORANG,2023
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,71,ORANG,2023
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,79,ORANG,2023
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,166,ORANG,2023
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,290,ORANG,2023
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,632,ORANG,2023
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,109,ORANG,2023
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11,ORANG,2023
208,32,JAWA BARAT,3271,KOTA BOGOR,432,ORANG,2023
209,32,JAWA BARAT,3272,KOTA SUKABUMI,71,ORANG,2023
210,32,JAWA BARAT,3273,KOTA BANDUNG,1270,ORANG,2023
211,32,JAWA BARAT,3274,KOTA CIREBON,159,ORANG,2023
212,32,JAWA BARAT,3275,KOTA BEKASI,1046,ORANG,2023
213,32,JAWA BARAT,3276,KOTA DEPOK,958,ORANG,2023
214,32,JAWA BARAT,3277,KOTA CIMAHI,147,ORANG,2023
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,122,ORANG,2023
216,32,JAWA BARAT,3279,KOTA BANJAR,39,ORANG,2023
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,1182,ORANG,2024
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,260,ORANG,2024
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,196,ORANG,2024
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,475,ORANG,2024
221,32,JAWA BARAT,3205,KABUPATEN GARUT,239,ORANG,2024
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,41,ORANG,2024
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,102,ORANG,2024
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,203,ORANG,2024
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,590,ORANG,2024
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,170,ORANG,2024
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,192,ORANG,2024
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,249,ORANG,2024
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,132,ORANG,2024
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,320,ORANG,2024
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,752,ORANG,2024
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,1410,ORANG,2024
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,250,ORANG,2024
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,22,ORANG,2024
235,32,JAWA BARAT,3271,KOTA BOGOR,1028,ORANG,2024
236,32,JAWA BARAT,3272,KOTA SUKABUMI,158,ORANG,2024
237,32,JAWA BARAT,3273,KOTA BANDUNG,2678,ORANG,2024
238,32,JAWA BARAT,3274,KOTA CIREBON,366,ORANG,2024
239,32,JAWA BARAT,3275,KOTA BEKASI,1914,ORANG,2024
240,32,JAWA BARAT,3276,KOTA DEPOK,1587,ORANG,2024
241,32,JAWA BARAT,3277,KOTA CIMAHI,398,ORANG,2024
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,283,ORANG,2024
243,32,JAWA BARAT,3279,KOTA BANJAR,89,ORANG,2024
